shape_slug,shape_label,carat_weight,approximate_length_mm,approximate_width_mm,facet_url
emerald,Emerald,2.8,9.87,7.05,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.80
emerald,Emerald,2.9,9.98,7.13,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=2.90
emerald,Emerald,3,10.1,7.21,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=emerald&carat=3.00
dutch_marquise,Dutch Marquise,1,9,5,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.00
dutch_marquise,Dutch Marquise,1.1,9.29,5.16,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.10
dutch_marquise,Dutch Marquise,1.2,9.56,5.31,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.20
dutch_marquise,Dutch Marquise,1.3,9.82,5.46,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.30
dutch_marquise,Dutch Marquise,1.4,10.07,5.59,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.40
dutch_marquise,Dutch Marquise,1.5,10.3,5.72,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.50
dutch_marquise,Dutch Marquise,1.6,10.53,5.85,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.60
dutch_marquise,Dutch Marquise,1.7,10.74,5.97,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.70
dutch_marquise,Dutch Marquise,1.8,10.95,6.08,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.80
dutch_marquise,Dutch Marquise,1.9,11.15,6.19,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=1.90
dutch_marquise,Dutch Marquise,2,11.34,6.3,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.00
dutch_marquise,Dutch Marquise,2.1,11.53,6.4,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.10
dutch_marquise,Dutch Marquise,2.2,11.71,6.5,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.20
dutch_marquise,Dutch Marquise,2.3,11.88,6.6,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.30
dutch_marquise,Dutch Marquise,2.4,12.05,6.69,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.40
dutch_marquise,Dutch Marquise,2.5,12.21,6.79,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.50
dutch_marquise,Dutch Marquise,2.6,12.38,6.88,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.60
dutch_marquise,Dutch Marquise,2.7,12.53,6.96,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.70
dutch_marquise,Dutch Marquise,2.8,12.69,7.05,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.80
dutch_marquise,Dutch Marquise,2.9,12.83,7.13,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=2.90
dutch_marquise,Dutch Marquise,3,12.98,7.21,https://jacobiusmakes.github.io/facet-diamond-tool/?via=data&shape=dutch_marquise&carat=3.00
